Company,Price,Change
Microsoft Corporation (MSFT),498.41,(+0.04%)
International Business Machines Corporation (IBM),259.11,(+1.18%)
GE Aerospace (GE),276.24,(+0.07%)
Union Pacific Corporation (UNP),216.05,(-0.56%)
Costco Wholesale Corporation (COST),979.25,(+0.76%)
McDonald's Corporation (MCD),312.52,(-0.09%)
Visa Inc. (V),343.99,(+0.49%)
Walmart Inc. (WMT),102.29,(+0.01%)
The Walt Disney Company (DIS),117.37,(-1.24%)
3M Company (MMM),153.08,(-0.60%)
Intel Corporation (INTC),24.44,(-0.16%)
American Express Company (AXP),324.34,(-0.33%)
"Advance Auto Parts, Inc. (AAP)",59.54,(-2.39%)
The Boeing Company (BA),229.52,(-0.62%)
"Cisco Systems, Inc. (CSCO)",67.34,(+0.69%)
"The Goldman Sachs Group, Inc. (GS)",763.92,(+2.97%)
JPMorgan Chase & Co. (JPM),297.85,(+1.69%)
"Salesforce, Inc. (CRM)",252.06,(-0.08%)
Verizon Communications Inc. (VZ),43.57,(+0.58%)
